EZABPQM,Tranche_Debut,Tranche_Fin,Mnémo,Territoire,Date_Attribution
0105,0105000000,0105999999,FRTE,Ile de France,01/01/2017
01241,0124100000,0124199999,FRTE,Ile de France,01/01/2017
01242,0124200000,0124299999,FRTE,Ile de France,01/01/2017
013000,0130000000,0130009999,FRTE,Ile de France,01/01/2017
013001,0130010000,0130019999,FRTE,Ile de France,01/01/2017
013002,0130020000,0130029999,FRTE,ZNE Guyancourt,01/01/2017
013003,0130030000,0130039999,FRTE,ZNE Guyancourt,01/01/2017
013004,0130040000,0130049999,FRTE,ZNE Les Mureaux,01/01/2017
013005,0130050000,0130059999,FRTE,ZNE Guyancourt,01/01/2017
013006,0130060000,0130069999,FRTE,ZNE Poissy,01/01/2017
013007,0130070000,0130079999,FRTE,ZNE Guyancourt,01/01/2017
013008,0130080000,0130089999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013009,0130090000,0130099999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013010,0130100000,0130109999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013011,0130110000,0130119999,FRTE,ZNE Sarcelles,01/01/2017
013012,0130120000,0130129999,FRTE,ZNE Guyancourt,01/01/2017
013013,0130130000,0130139999,FRTE,ZNE Guyancourt,01/01/2017
013014,0130140000,0130149999,FRTE,ZNE Guyancourt,01/01/2017
013015,0130150000,0130159999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013016,0130160000,0130169999,FRTE,ZNE Guyancourt,01/01/2017
013017,0130170000,0130179999,FRTE,ZNE Cergy,01/01/2017
013018,0130180000,0130189999,FRTE,ZNE Sarcelles,01/01/2017
013019,0130190000,0130199999,FRTE,ZNE Poissy,01/01/2017
013020,0130200000,0130209999,FRTE,ZNE Cergy,01/01/2017
013021,0130210000,0130219999,FRTE,ZNE Versailles,01/01/2017
013022,0130220000,0130229999,FRTE,ZNE Les Mureaux,01/01/2017
013023,0130230000,0130239999,FRTE,ZNE Guyancourt,01/01/2017
013024,0130240000,0130249999,FRTE,ZNE Versailles,01/01/2017
013025,0130250000,0130259999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013026,0130260000,0130269999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013027,0130270000,0130279999,FRTE,ZNE Cergy,01/01/2017
013028,0130280000,0130289999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013029,0130290000,0130299999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013030,0130300000,0130309999,FRTE,ZNE Cergy,01/01/2017
013031,0130310000,0130319999,FRTE,ZNE Cergy,01/01/2017
013032,0130320000,0130329999,FRTE,ZNE Cergy,01/01/2017
013033,0130330000,0130339999,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013034,0130340000,0130349999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013035,0130350000,0130359999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013036,0130360000,0130369999,FRTE,ZNE Cergy,01/01/2017
013037,0130370000,0130379999,FRTE,ZNE Cergy,01/01/2017
013038,0130380000,0130389999,FRTE,ZNE Cergy,01/01/2017
013039,0130390000,0130399999,FRTE,ZNE Cergy,01/01/2017
013040,0130400000,0130409999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013041,0130410000,0130419999,FRTE,ZNE Rambouillet,01/01/2017
013042,0130420000,0130429999,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013043,0130430000,0130439999,FRTE,ZNE Guyancourt,01/01/2017
013044,0130440000,0130449999,FRTE,ZNE Guyancourt,01/01/2017
013045,0130450000,0130459999,FRTE,ZNE Guyancourt,01/01/2017
013046,0130460000,0130469999,FRTE,ZNE Rambouillet,01/01/2017
013047,0130470000,0130479999,FRTE,ZNE Guyancourt,01/01/2017
013048,0130480000,0130489999,FRTE,ZNE Guyancourt,01/01/2017
013049,0130490000,0130499999,FRTE,ZNE Guyancourt,01/01/2017
013050,0130500000,0130509999,FRTE,ZNE Guyancourt,01/01/2017
013051,0130510000,0130519999,FRTE,ZNE Guyancourt,01/01/2017
013052,0130520000,0130529999,FRTE,ZNE Guyancourt,01/01/2017
013053,0130530000,0130539999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013054,0130540000,0130549999,FRTE,ZNE Guyancourt,01/01/2017
013055,0130550000,0130559999,FRTE,ZNE Guyancourt,01/01/2017
013056,0130560000,0130569999,FRTE,ZNE Guyancourt,01/01/2017
013057,0130570000,0130579999,FRTE,ZNE Guyancourt,01/01/2017
013058,0130580000,0130589999,FRTE,ZNE Guyancourt,01/01/2017
013059,0130590000,0130599999,FRTE,ZNE Rambouillet,01/01/2017
013060,0130600000,0130609999,FRTE,ZNE Guyancourt,01/01/2017
013061,0130610000,0130619999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013062,0130620000,0130629999,FRTE,ZNE Guyancourt,01/01/2017
013063,0130630000,0130639999,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013064,0130640000,0130649999,FRTE,ZNE Guyancourt,01/01/2017
013065,0130650000,0130659999,FRTE,ZNE Poissy,01/01/2017
013066,0130660000,0130669999,FRTE,ZNE Guyancourt,01/01/2017
013067,0130670000,0130679999,FRTE,ZNE Versailles,01/01/2017
013068,0130680000,0130689999,FRTE,ZNE Guyancourt,01/01/2017
013069,0130690000,0130699999,FRTE,ZNE Guyancourt,01/01/2017
013070,0130700000,0130709999,FRTE,ZNE Versailles,01/01/2017
013071,0130710000,0130719999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013072,0130720000,0130729999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013073,0130730000,0130739999,FRTE,ZNE Cergy,01/01/2017
013074,0130740000,0130749999,FRTE,ZNE Poissy,01/01/2017
013075,0130750000,0130759999,FRTE,ZNE Cergy,01/01/2017
013076,0130760000,0130769999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013077,0130770000,0130779999,FRTE,ZNE Versailles,01/01/2017
013078,0130780000,0130789999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013079,0130790000,0130799999,FRTE,ZNE Guyancourt,01/01/2017
013080,0130800000,0130809999,FRTE,ZNE Guyancourt,01/01/2017
013081,0130810000,0130819999,FRTE,ZNE Guyancourt,01/01/2017
013082,0130820000,0130829999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013083,0130830000,0130839999,FRTE,ZNE Versailles,01/01/2017
013084,0130840000,0130849999,FRTE,ZNE Versailles,01/01/2017
013085,0130850000,0130859999,FRTE,ZNE Guyancourt,01/01/2017
013086,0130860000,0130869999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013087,0130870000,0130879999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013088,0130880000,0130889999,FRTE,ZNE Rambouillet,01/01/2017
013089,0130890000,0130899999,FRTE,ZNE Guyancourt,01/01/2017
013090,0130900000,0130909999,FRTE,ZNE Les Mureaux,01/01/2017
013091,0130910000,0130919999,FRTE,ZNE Les Mureaux,01/01/2017
013092,0130920000,0130929999,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013093,0130930000,0130939999,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013094,0130940000,0130949999,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013095,0130950000,0130959999,FRTE,ZNE Les Mureaux,01/01/2017
